Kernel,Outer,Inner,Reduction,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_Outer,log_Inner,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
wilson_dslash_combined_swap_16_512,512,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.709269962,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,4140431
wilson_dslash_combined_swap_16_640,640,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.806179975,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,5138867
wilson_dslash_combined_swap_16_768,768,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.885361221,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,6210821
wilson_dslash_combined_swap_16_896,896,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.952308010,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,7240980
wilson_dslash_combined_swap_256_128,128,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.107209970,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,1744306
wilson_dslash_combined_swap_256_16,16,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,1.204119983,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,216082
wilson_dslash_combined_swap_256_256,256,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.408239966,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,3454315
wilson_dslash_combined_swap_256_384,384,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.584331225,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,5183322
wilson_dslash_combined_swap_256_512,512,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.709269962,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,6911863
wilson_dslash_combined_swap_256_640,640,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.806179975,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.126110100,8642148
wilson_dslash_combined_swap_384_128,128,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.107209970,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,1748100
