Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
Kernel_1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426308,35426308,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831779,25.07831779,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.737095
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426312,35426312,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831795,25.07831795,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.571805
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426316,35426316,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831811,25.07831811,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.568363
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426320,35426320,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831827,25.07831827,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.568251
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426324,35426324,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831844,25.07831844,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.567313
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426328,35426328,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.0783186,25.0783186,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.567646
Kernel_7,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2974,2974,1,2,37,6,1,35426332,35426332,12,7,8,2,0,0,0,5,11.53818893,11.53818893,1,5.209453366,2.584962501,0,25.07831876,25.07831876,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.571326
Kernel_1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192260,36192260,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917786,25.10917786,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.74183
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192264,36192264,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917802,25.10917802,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.583416
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192268,36192268,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917818,25.10917818,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.580526
